name,team,link,photo,salary,draftClass,careerGP,careerMin,careerPTS,instagramHandle,followerCount,year,round,pick
Donta Hall, Detroit Pistons,http://www.espn.com/nba/player/stats/_/id/3907408/donta-hall,https://a.espncdn.com/i/headshots/nba/players/full/4066212.png,,,4,12,1.5,dlhall_5,11140,,,
John Henson, Detroit Pistons,http://www.espn.com/nba/player/stats/_/id/6592/john-henson,https://a.espncdn.com/i/headshots/nba/players/full/4066212.png,9732396,"2012: Rd 1, Pk 14 (MIL)",445,19.7,7.6,johnhenson31,80751,2012,1,14
Luke Kennard, Detroit Pistons,http://www.espn.com/nba/player/stats/_/id/3913174/luke-kennard,https://a.espncdn.com/i/headshots/nba/players/full/4066212.png,3827160,"2017: Rd 1, Pk 12 (DET)",164,23.3,9.8,lukekennard5,208390,2017,1,12
Louis King, Detroit Pistons,http://www.espn.com/nba/player/stats/_/id/4397103/louis-king,https://a.espncdn.com/i/headshots/nba/players/full/4066212.png,,,10,6.2,2,louiiking,33380,,,
Brandon Knight, Detroit Pistons,http://www.espn.com/nba/player/stats/_/id/6448/brandon-knight,https://a.espncdn.com/i/headshots/nba/players/full/4066212.png,15643750,"2011: Rd 1, Pk 8 (DET)",446,29.5,14.1,bknight1891,2540,2011,1,8
Thon Maker, Detroit Pistons,http://www.espn.com/nba/player/stats/_/id/4017843/thon-maker,https://a.espncdn.com/i/headshots/nba/players/full/4066212.png,3569643,"2016: Rd 1, Pk 10 (MIL)",255,13.9,4.7,thonmaker,168520,2016,1,10
Jordan McRae, Detroit Pistons,http://www.espn.com/nba/player/stats/_/id/2531797/jordan-mcrae,https://a.espncdn.com/i/headshots/nba/players/full/4066212.png,1645357,"2014: Rd 2, Pk 58 (SA)",123,13.8,6.9,jordymac52,102741,2014,2,58
Sviatoslav Mykhailiuk, Detroit Pistons,http://www.espn.com/nba/player/stats/_/id/3133602/sviatoslav-mykhailiuk,https://a.espncdn.com/i/headshots/nba/players/full/4066212.png,1416852,"2018: Rd 2, Pk 47 (LAL)",98,17.4,6.5,sviat_10,133614,2018,2,47
Derrick Rose, Detroit Pistons,http://www.espn.com/nba/player/stats/_/id/3456/derrick-rose,https://a.espncdn.com/i/headshots/nba/players/full/4066212.png,7317073,"2008: Rd 1, Pk 1 (CHI)",596,32.6,18.8,drose,1269039,2008,1,1
Tony Snell, Detroit Pistons,http://www.espn.com/nba/player/stats/_/id/2528353/tony-snell,https://a.espncdn.com/i/headshots/nba/players/full/4066212.png,11392857,"2013: Rd 1, Pk 20 (CHI)",501,22.5,6.5,t.snell_,51503,2013,1,20
Khyri Thomas, Detroit Pistons,http://www.espn.com/nba/player/stats/_/id/3912334/khyri-thomas,https://a.espncdn.com/i/headshots/nba/players/full/4066212.png,1416852,"2018: Rd 2, Pk 38 (PHI)",34,7.5,2.3,,,2018,2,38
Christian Wood, Detroit Pistons,http://www.espn.com/nba/player/stats/_/id/3058254/christian-wood,https://a.espncdn.com/i/headshots/nba/players/full/4066212.png,1645357,,113,16.2,9.5,chriswood_5,97209,,,
Goga Bitadze, Indiana Pacers,http://www.espn.com/nba/player/stats/_/id/4348700/goga-bitadze,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,2816760,"2019: Rd 1, Pk 18 (IND)",49,8.4,3.1,gogabitadze,66234,2019,1,18
Brian Bowen II, Indiana Pacers,http://www.espn.com/nba/player/stats/_/id/4277882/brian-bowen-ii,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,,,5,5.8,0.8,t.u.g.s,49798,,,
Malcolm Brogdon, Indiana Pacers,http://www.espn.com/nba/player/stats/_/id/2566769/malcolm-brogdon,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,20000000,"2016: Rd 2, Pk 36 (MIL)",235,28.6,13.5,malcolmbrogdon,126310,2016,2,36
Aaron Holiday, Indiana Pacers,http://www.espn.com/nba/player/stats/_/id/3922230/aaron-holiday,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,2329200,"2018: Rd 1, Pk 23 (IND)",108,18.6,7.8,the_4th_holiday,71238,2018,1,23
Justin Holiday, Indiana Pacers,http://www.espn.com/nba/player/stats/_/id/2284101/justin-holiday,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,4767000,,422,23,8.2,justholla7,168260,,,
Alize Johnson, Indiana Pacers,http://www.espn.com/nba/player/stats/_/id/4067045/alize-johnson,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,1416852,"2018: Rd 2, Pk 50 (IND)",27,4.4,1.1,alizejohnson24,50876,2018,2,50
Jeremy Lamb, Indiana Pacers,http://www.espn.com/nba/player/stats/_/id/6603/jeremy-lamb,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,10500000,"2012: Rd 1, Pk 12 (HOU)",481,21.2,10.5,jeremylamb1,115924,2012,1,12
T.J. Leaf, Indiana Pacers,http://www.espn.com/nba/player/stats/_/id/4066425/tj-leaf,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,2813280,"2017: Rd 1, Pk 18 (IND)",136,8.6,3.3,leafsquad,97415,2017,1,18
T.J. McConnell, Indiana Pacers,http://www.espn.com/nba/player/stats/_/id/2530530/tj-mcconnell,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,3500000,,377,21.5,6.4,tjmcconnell,131559,,,
Doug McDermott, Indiana Pacers,http://www.espn.com/nba/player/stats/_/id/2528588/doug-mcdermott,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,7333333,"2014: Rd 1, Pk 11 (DEN)",403,20,8.2,dougmcd03,287598,2014,1,11
Naz Mitrou-Long, Indiana Pacers,http://www.espn.com/nba/player/stats/_/id/2990968/naz-mitrou-long,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,,,18,7.1,1.8,,,,,
Victor Oladipo, Indiana Pacers,http://www.espn.com/nba/player/stats/_/id/2527963/victor-oladipo,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,21000000,"2013: Rd 1, Pk 2 (ORL)",415,33,17.4,vicoladipo,1464280,2013,1,2
Domantas Sabonis, Indiana Pacers,http://www.espn.com/nba/player/stats/_/id/3155942/domantas-sabonis,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,3529555,"2016: Rd 1, Pk 11 (ORL)",291,25.6,12.1,dsabonis11,172709,2016,1,11
JaKarr Sampson, Indiana Pacers,http://www.espn.com/nba/player/stats/_/id/2608891/jakarr-sampson,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,1620564,,199,15.6,5.3,karrsampson14,15790,,,
Edmond Sumner, Indiana Pacers,http://www.espn.com/nba/player/stats/_/id/3136485/edmond-sumner,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,2000000,"2017: Rd 2, Pk 52 (NO)",49,11.4,3.7,edmondsumner,17775,2017,2,52
Myles Turner, Indiana Pacers,http://www.espn.com/nba/player/stats/_/id/3133628/myles-turner,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,18000000,"2015: Rd 1, Pk 11 (IND)",335,28.3,12.7,turner_myles,221785,2015,1,11
T.J. Warren, Indiana Pacers,http://www.espn.com/nba/player/stats/_/id/2982334/tj-warren,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,10810000,"2014: Rd 1, Pk 14 (PHX)",322,28.6,15.2,t.warren1,75017,2014,1,14
Giannis Antetokounmpo, Milwaukee Bucks,http://www.espn.com/nba/player/stats/_/id/3032977/giannis-antetokounmpo,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,25842697,"2013: Rd 1, Pk 15 (MIL)",522,32.5,20,giannis_an34,7558476,2013,1,15
Thanasis Antetokounmpo, Milwaukee Bucks,http://www.espn.com/nba/player/stats/_/id/3102533/thanasis-antetokounmpo,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,1445697,"2014: Rd 2, Pk 51 (NY)",20,5,2.6,thanasis_ante,1532,2014,2,51
Eric Bledsoe, Milwaukee Bucks,http://www.espn.com/nba/player/stats/_/id/4238/eric-bledsoe,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,15625000,"2010: Rd 1, Pk 18 (OKC)",626,27.8,14.2,thebledshow,596654,2010,1,18
Sterling Brown, Milwaukee Bucks,http://www.espn.com/nba/player/stats/_/id/3057187/sterling-brown,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,1618520,"2017: Rd 2, Pk 46 (PHI)",157,15.8,5.2,sterlingkbrown,1357142,2017,2,46
Pat Connaughton, Milwaukee Bucks,http://www.espn.com/nba/player/stats/_/id/2578239/pat-connaughton,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,1723050,"2015: Rd 2, Pk 41 (BKN)",277,15.6,4.7,patconnaughton,147662,2015,2,41
Donte DiVincenzo, Milwaukee Bucks,http://www.espn.com/nba/player/stats/_/id/3934673/donte-divincenzo,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,2905800,"2018: Rd 1, Pk 17 (MIL)",86,20.6,8,divincenzo,316,2018,1,17
George Hill, Milwaukee Bucks,http://www.espn.com/nba/player/stats/_/id/3438/george-hill,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,9133907,"2008: Rd 1, Pk 26 (SA)",778,27.7,11.1,indianageorge3,204105,2008,1,26
Ersan Ilyasova, Milwaukee Bucks,http://www.espn.com/nba/player/stats/_/id/2767/ersan-ilyasova,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,7000000,"2005: Rd 2, Pk 36 (MIL)",801,23.4,10.3,ersanilyasova7,118107,2005,2,36
Kyle Korver, Milwaukee Bucks,http://www.espn.com/nba/player/stats/_/id/2011/kyle-korver,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,1620564,"2003: Rd 2, Pk 51 (NJ)",1224,25.4,9.7,kkorv26,704442,2003,2,51
Brook Lopez, Milwaukee Bucks,http://www.espn.com/nba/player/stats/_/id/3448/brook-lopez,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,12093023,"2008: Rd 1, Pk 10 (NJ)",778,30.6,16.8,brooklopez_,4224,2008,1,10
Robin Lopez, Milwaukee Bucks,http://www.espn.com/nba/player/stats/_/id/3447/robin-lopez,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,4767000,"2008: Rd 1, Pk 15 (PHX)",826,22.4,8.8,gustogummi88,169724,2008,1,15
Frank Mason III, Milwaukee Bucks,http://www.espn.com/nba/player/stats/_/id/3059315/frank-mason-iii,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,,"2017: Rd 2, Pk 34 (SAC)",96,15.3,6.5,fmason0,168056,2017,2,34
Wesley Matthews, Milwaukee Bucks,http://www.espn.com/nba/player/stats/_/id/4032/wesley-matthews,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,2564753,,786,31.9,13.2,wessywes23,190794,,,
Khris Middleton, Milwaukee Bucks,http://www.espn.com/nba/player/stats/_/id/6609/khris-middleton,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,30603448,"2012: Rd 2, Pk 39 (DET)",510,31.5,16.3,k_mid22,239750,2012,2,39
Cameron Reynolds, Milwaukee Bucks,http://www.espn.com/nba/player/stats/_/id/3057240/cameron-reynolds,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,,,19,13.6,5,camocinco,12189,,,
Marvin Williams, Milwaukee Bucks,http://www.espn.com/nba/player/stats/_/id/2797/marvin-williams,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,604278,"2005: Rd 1, Pk 2 (ATL)",1066,28.2,10.3,hornets,1226544,2005,1,2
D.J. Wilson, Milwaukee Bucks,http://www.espn.com/nba/player/stats/_/id/3136491/dj-wilson,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,2961120,"2017: Rd 1, Pk 17 (MIL)",101,12.2,4,lanky_smoove,139533,2017,1,17
J.J. Barea, Dallas Mavericks,http://www.espn.com/nba/player/stats/_/id/3055/jj-barea,https://a.espncdn.com/i/headshots/nba/players/full/3055.png,1620564,,828,19.6,8.9,jjbarea11,398615,,,
Jalen Brunson, Dallas Mavericks,http://www.espn.com/nba/player/stats/_/id/3934672/jalen-brunson,https://a.espncdn.com/i/headshots/nba/players/full/3055.png,1416852,"2018: Rd 2, Pk 33 (DAL)",130,20.1,8.8,jalenbrunson1,113641,2018,2,33
Willie Cauley-Stein, Dallas Mavericks,http://www.espn.com/nba/player/stats/_/id/2991282/willie-cauley-stein,https://a.espncdn.com/i/headshots/nba/players/full/3055.png,2177483,"2015: Rd 1, Pk 6 (SAC)",349,23.5,9.6,pr00fessortrill,583261,2015,1,6
Antonius Cleveland, Dallas Mavericks,http://www.espn.com/nba/player/stats/_/id/3064237/antonius-cleveland,https://a.espncdn.com/i/headshots/nba/players/full/3055.png,,,23,6.3,1.2,ac_uno1,8198,,,
Seth Curry, Dallas Mavericks,http://www.espn.com/nba/player/stats/_/id/2326307/seth-curry,https://a.espncdn.com/i/headshots/nba/players/full/3055.png,7461380,,251,22.3,10.1,sdotcurry,1993777,,,
Luka Doncic, Dallas Mavericks,http://www.espn.com/nba/player/stats/_/id/3945274/luka-doncic,https://a.espncdn.com/i/headshots/nba/players/full/3055.png,7683360,"2018: Rd 1, Pk 3 (ATL)",126,32.7,24.4,lukadoncic,4647997,2018,1,3
Dorian Finney-Smith, Dallas Mavericks,http://www.espn.com/nba/player/stats/_/id/2578185/dorian-finney-smith,https://a.espncdn.com/i/headshots/nba/players/full/3055.png,4000000,,247,24.2,6.8,doedoe_10,45230,,,
Tim Hardaway Jr., Dallas Mavericks,http://www.espn.com/nba/player/stats/_/id/2528210/tim-hardaway-jr,https://a.espncdn.com/i/headshots/nba/players/full/3055.png,20025127,"2013: Rd 1, Pk 24 (NY)",466,26.5,13.4,timmyjr10,476348,2013,1,24
Justin Jackson, Dallas Mavericks,http://www.espn.com/nba/player/stats/_/id/3138156/justin-jackson,https://a.espncdn.com/i/headshots/nba/players/full/3055.png,3280920,"2017: Rd 1, Pk 15 (POR)",207,19.6,6.6,jjacks44,187391,2017,1,15
Michael Kidd-Gilchrist, Dallas Mavericks,http://www.espn.com/nba/player/stats/_/id/6601/michael-kidd-gilchrist,https://a.espncdn.com/i/headshots/nba/players/full/3055.png,595122,"2012: Rd 1, Pk 2 (CHA)",442,24.7,8.5,mkg14,197642,2012,1,2
Maxi Kleber, Dallas Mavericks,http://www.espn.com/nba/player/stats/_/id/2960236/maxi-kleber,https://a.espncdn.com/i/headshots/nba/players/full/3055.png,8000000,,209,21.1,7.1,maximilian.kleber,70742,,,
Courtney Lee, Dallas Mavericks,http://www.espn.com/nba/player/stats/_/id/3445/courtney-lee,https://a.espncdn.com/i/headshots/nba/players/full/3055.png,12759670,"2008: Rd 1, Pk 22 (ORL)",811,27.1,9.6,courtneylee,152469,2008,1,22
Boban Marjanovic, Dallas Mavericks,http://www.espn.com/nba/player/stats/_/id/4376/boban-marjanovic,https://a.espncdn.com/i/headshots/nba/players/full/3055.png,3500000,,223,9.7,6.2,boban,558547,,,
Kristaps Porzingis, Dallas Mavericks,http://www.espn.com/nba/player/stats/_/id/3102531/kristaps-porzingis,https://a.espncdn.com/i/headshots/nba/players/full/3055.png,27285000,"2015: Rd 1, Pk 4 (NY)",237,31.1,18.1,kporzee,1695985,2015,1,4
Dwight Powell, Dallas Mavericks,http://www.espn.com/nba/player/stats/_/id/2531367/dwight-powell,https://a.espncdn.com/i/headshots/nba/players/full/3055.png,10259375,"2014: Rd 2, Pk 45 (CHA)",371,18.7,7.7,dwightpowell,74706,2014,2,45
Josh Reaves, Dallas Mavericks,http://www.espn.com/nba/player/stats/_/id/3912278/josh-reaves,https://a.espncdn.com/i/headshots/nba/players/full/3055.png,,,2,0.5,,jareaves23,7951,,,
Delon Wright, Dallas Mavericks,http://www.espn.com/nba/player/stats/_/id/3064447/delon-wright,https://a.espncdn.com/i/headshots/nba/players/full/3055.png,9473684,"2015: Rd 1, Pk 20 (TOR)",263,19.8,7.4,delonwright,124487,2015,1,20
Bruno Caboclo, Houston Rockets,http://www.espn.com/nba/player/stats/_/id/3113297/bruno-caboclo,https://a.espncdn.com/i/headshots/nba/players/full/3113297.png,1845301,"2014: Rd 1, Pk 20 (TOR)",96,12.8,4.2,brunofive,103667,2014,1,20
DeMarre Carroll, Houston Rockets,http://www.espn.com/nba/player/stats/_/id/3970/demarre-carroll,https://a.espncdn.com/i/headshots/nba/players/full/3113297.png,512721,"2009: Rd 1, Pk 27 (MEM)",575,23.7,8.9,demarrecarroll1,199963,2009,1,27
Tyson Chandler, Houston Rockets,http://www.espn.com/nba/player/stats/_/id/984/tyson-chandler,https://a.espncdn.com/i/headshots/nba/players/full/3113297.png,1620564,"2001: Rd 1, Pk 2 (LAC)",1160,27.3,8.2,,,2001,1,2
Chris Clemons, Houston Rockets,http://www.espn.com/nba/player/stats/_/id/3906603/chris-clemons,https://a.espncdn.com/i/headshots/nba/players/full/3113297.png,563347,,29,8.7,4.9,idropcoldbucks,30558,,,
Robert Covington, Houston Rockets,http://www.espn.com/nba/player/stats/_/id/2490620/robert-covington,https://a.espncdn.com/i/headshots/nba/players/full/3113297.png,11301219,,388,29.9,12.8,atf_33,222601,,,
Michael Frazier, Houston Rockets,http://www.espn.com/nba/player/stats/_/id/2991255/michael-frazier,https://a.espncdn.com/i/headshots/nba/players/full/3113297.png,,,8,8.3,1.8,mfrazierii,2887,,,
Eric Gordon, Houston Rockets,http://www.espn.com/nba/player/stats/_/id/3431/eric-gordon,https://a.espncdn.com/i/headshots/nba/players/full/3113297.png,14057730,"2008: Rd 1, Pk 7 (LAC)",663,32.8,16.6,officialeg10,306056,2008,1,7
Jeff Green, Houston Rockets,http://www.espn.com/nba/player/stats/_/id/3209/jeff-green,https://a.espncdn.com/i/headshots/nba/players/full/3113297.png,439475,"2007: Rd 1, Pk 5 (BOS)",900,29.5,13,unclejeffgreen,314371,2007,1,5
James Harden, Houston Rockets,http://www.espn.com/nba/player/stats/_/id/3992/james-harden,https://a.espncdn.com/i/headshots/nba/players/full/3113297.png,38199000,"2009: Rd 1, Pk 3 (OKC)",826,34.3,25.1,jamesharden,50672,2009,1,3
Isaiah Hartenstein, Houston Rockets,http://www.espn.com/nba/player/stats/_/id/4222252/isaiah-hartenstein,https://a.espncdn.com/i/headshots/nba/players/full/3113297.png,1416852,"2017: Rd 2, Pk 43 (HOU)",51,9.5,3.1,ipjh55,32359,2017,2,43
Danuel House Jr., Houston Rockets,http://www.espn.com/nba/player/stats/_/id/2991155/danuel-house-jr,https://a.espncdn.com/i/headshots/nba/players/full/3113297.png,3540000,,121,25.8,9.2,dk2house,74020,,,
William Howard, Houston Rockets,http://www.espn.com/nba/player/stats/_/id/4237239/william-howard,https://a.espncdn.com/i/headshots/nba/players/full/3113297.png,,,2,6.5,,mister_howard,3705,,,
Ben McLemore, Houston Rockets,http://www.espn.com/nba/player/stats/_/id/2578213/ben-mclemore,https://a.espncdn.com/i/headshots/nba/players/full/3113297.png,2028594,"2013: Rd 1, Pk 7 (SAC)",431,23.6,9,b_mclemore23,340864,2013,1,7
Austin Rivers, Houston Rockets,http://www.espn.com/nba/player/stats/_/id/6617/austin-rivers,https://a.espncdn.com/i/headshots/nba/players/full/3113297.png,2147317,"2012: Rd 1, Pk 10 (NO)",544,24.5,9.1,austinjrivers,386127,2012,1,10
Thabo Sefolosha, Houston Rockets,http://www.espn.com/nba/player/stats/_/id/3028/thabo-sefolosha,https://a.espncdn.com/i/headshots/nba/players/full/3113297.png,1620564,"2006: Rd 1, Pk 13 (PHI)",869,21.9,5.7,vevey1800,35109,2006,1,13
P.J. Tucker, Houston Rockets,http://www.espn.com/nba/player/stats/_/id/3033/pj-tucker,https://a.espncdn.com/i/headshots/nba/players/full/3113297.png,8349039,"2006: Rd 2, Pk 35 (TOR)",646,29.3,7.4,pjtucker,676717,2006,2,35
Russell Westbrook, Houston Rockets,http://www.espn.com/nba/player/stats/_/id/3468/russell-westbrook,https://a.espncdn.com/i/headshots/nba/players/full/3113297.png,38506482,"2008: Rd 1, Pk 4 (SEA)",874,34.6,23.2,russwest44,15025896,2008,1,4
Grayson Allen, Memphis Grizzlies,http://www.espn.com/nba/player/stats/_/id/3135045/grayson-allen,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png,2429400,"2018: Rd 1, Pk 21 (UTAH)",68,13.4,6.4,graysonjallen,439754,2018,1,21
Kyle Anderson, Memphis Grizzlies,http://www.espn.com/nba/player/stats/_/id/2993874/kyle-anderson,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png,9073050,"2014: Rd 1, Pk 30 (SA)",359,19.6,5.4,teamslowmo,134130,2014,1,30
Dillon Brooks, Memphis Grizzlies,http://www.espn.com/nba/player/stats/_/id/3155526/dillon-brooks,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png,1618520,"2017: Rd 2, Pk 45 (HOU)",165,27.5,12.4,dillonbrooks24,123075,2017,2,45
Brandon Clarke, Memphis Grizzlies,http://www.espn.com/nba/player/stats/_/id/3906665/brandon-clarke,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png,2478840,"2019: Rd 1, Pk 21 (OKC)",50,21.7,12,brandon_clarke23,58920,2019,1,21
Gorgui Dieng, Memphis Grizzlies,http://www.espn.com/nba/player/stats/_/id/2534781/gorgui-dieng,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png,16229213,"2013: Rd 1, Pk 21 (UTAH)",510,22.1,7.9,gorguidieng,136096,2013,1,21
Marko Guduric, Memphis Grizzlies,http://www.espn.com/nba/player/stats/_/id/4230554/marko-guduric,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png,2625000,,42,11.3,4,guduric,87524,,,
Josh Jackson, Memphis Grizzlies,http://www.espn.com/nba/player/stats/_/id/4066297/josh-jackson,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png,7059480,"2017: Rd 1, Pk 4 (PHX)",174,24.7,12.1,josh_j11,298728,2017,1,4
Jaren Jackson Jr., Memphis Grizzlies,http://www.espn.com/nba/player/stats/_/id/4277961/jaren-jackson-jr,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png,6927480,"2018: Rd 1, Pk 4 (MEM)",112,27,15.3,jaren,187501,2018,1,4
Tyus Jones, Memphis Grizzlies,http://www.espn.com/nba/player/stats/_/id/3135046/tyus-jones,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png,9258000,"2015: Rd 1, Pk 24 (CLE)",312,18,5.6,1tyus,411003,2015,1,24
John Konchar, Memphis Grizzlies,http://www.espn.com/nba/player/stats/_/id/3134932/john-konchar,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png,,,15,11.1,3.4,konchar,4343,,,
De'Anthony Melton, Memphis Grizzlies,http://www.espn.com/nba/player/stats/_/id/4066436/deanthony-melton,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png,1416852,"2018: Rd 2, Pk 46 (HOU)",102,19.6,6.6,deanthonymelton,29753,2018,2,46
Ja Morant, Memphis Grizzlies,http://www.espn.com/nba/player/stats/_/id/4279888/ja-morant,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png,8730240,"2019: Rd 1, Pk 2 (MEM)",59,30,17.6,jamorant,2644361,2019,1,2
Anthony Tolliver, Memphis Grizzlies,http://www.espn.com/nba/player/stats/_/id/3276/anthony-tolliver,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png,1620564,,711,19.6,6.2,atolliver44,42843,,,
Jonas Valanciunas, Memphis Grizzlies,http://www.espn.com/nba/player/stats/_/id/6477/jonas-valanciunas,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png,16000000,"2011: Rd 1, Pk 5 (TOR)",551,25.3,12.4,jvalanciunas,255591,2011,1,5
Yuta Watanabe, Memphis Grizzlies,http://www.espn.com/nba/player/stats/_/id/3133838/yuta-watanabe,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png,,,31,8.8,2.2,yutawatanabe12,107755,,,
Justise Winslow, Memphis Grizzlies,http://www.espn.com/nba/player/stats/_/id/3135047/justise-winslow,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png,13000000,"2015: Rd 1, Pk 10 (MIA)",241,28.4,9,iamjustise,644087,2015,1,10
Nickeil Alexander-Walker, New Orleans Pelicans,http://www.espn.com/nba/player/stats/_/id/4278039/nickeil-alexander-walker,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png,2964840,"2019: Rd 1, Pk 17 (BKN)",41,12.2,5.1,nickeilaw,116243,2019,1,17
Lonzo Ball, New Orleans Pelicans,http://www.espn.com/nba/player/stats/_/id/4066421/lonzo-ball,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png,8719320,"2017: Rd 1, Pk 2 (LAL)",155,32.4,10.9,zo,7791214,2017,1,2
Zylan Cheatham, New Orleans Pelicans,http://www.espn.com/nba/player/stats/_/id/3137713/zylan-cheatham,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png,,,3,10.3,1.3,z_takeoff14,18158,,,
Derrick Favors, New Orleans Pelicans,http://www.espn.com/nba/player/stats/_/id/4257/derrick-favors,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png,17650000,"2010: Rd 1, Pk 3 (NJ)",677,25.6,11.4,_dfavors15,84449,2010,1,3
Josh Gray, New Orleans Pelicans,http://www.espn.com/nba/player/stats/_/id/3001308/josh-gray,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png,,,7,15.6,4.9,officialjoshgray,54583,,,
Josh Hart, New Orleans Pelicans,http://www.espn.com/nba/player/stats/_/id/3062679/josh-hart,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png,1655160,"2017: Rd 1, Pk 30 (UTAH)",187,25.3,8.6,jhart,708939,2017,1,30
Jaxson Hayes, New Orleans Pelicans,http://www.espn.com/nba/player/stats/_/id/4397077/jaxson-hayes,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png,4862040,"2019: Rd 1, Pk 8 (ATL)",56,17,7.5,sideshowjax_,277678,2019,1,8
Jrue Holiday, New Orleans Pelicans,http://www.espn.com/nba/player/stats/_/id/3995/jrue-holiday,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png,26231111,"2009: Rd 1, Pk 17 (PHI)",707,33.3,15.9,jrue_holiday11,272874,2009,1,17
Brandon Ingram, New Orleans Pelicans,http://www.espn.com/nba/player/stats/_/id/3913176/brandon-ingram,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png,7265485,"2016: Rd 1, Pk 2 (LAL)",246,32.2,16.2,1ngram4,2190260,2016,1,2
Frank Jackson, New Orleans Pelicans,http://www.espn.com/nba/player/stats/_/id/4065651/frank-jackson,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png,1618520,"2017: Rd 2, Pk 31 (CHA)",112,16.3,7,franklinjackson5,91452,2017,2,31
Nicolo Melli, New Orleans Pelicans,http://www.espn.com/nba/player/stats/_/id/4341/nicolo-melli,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png,4102564,,52,17.1,6.8,nikmelli,136022,,,
Darius Miller, New Orleans Pelicans,http://www.espn.com/nba/player/stats/_/id/6610/darius-miller,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png,7000000,"2012: Rd 2, Pk 46 (NO)",253,20.4,6,dmillerky,25723,2012,2,46
E'Twaun Moore, New Orleans Pelicans,http://www.espn.com/nba/player/stats/_/id/6460/etwaun-moore,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png,8664928,"2011: Rd 2, Pk 55 (BOS)",566,21.4,8.1,etwaun_55,35770,2011,2,55
Jahlil Okafor, New Orleans Pelicans,http://www.espn.com/nba/player/stats/_/id/3135048/jahlil-okafor,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png,1702486,"2015: Rd 1, Pk 3 (PHI)",218,20.4,11,jah8,569758,2015,1,3
