,text,created_at,retweet_count,favorite_count,is_retweet,word,china_virus,enlargen
147,I want to thank all of our Great Government officials on the CoronaVirus Task Force who are working around the clock in response to the CoronaVirus. Continue to check https://t.co/boZM2NePJW for updates and follow all recommendations that are available....,3/11/20 19:17,13809,55034,FALSE,CoronaVirus,0,0
148,....Together we are putting into policy a plan to prevent detect treat and create a vaccine against CoronaVirus to save lives in America and the world. America will get it done!,3/11/20 18:52,12441,57851,FALSE,CoronaVirus,0,0
149,Someone needs to tell the Democrats in Congress that CoronaVirus doesn’t care what party you are in. We need to protect ALL Americans!,3/11/20 18:50,35525,165578,FALSE,CoronaVirus,0,0
150,Our CoronaVirus Team has been doing a great job. Even Democrat governors have been VERY complimentary!,3/10/20 14:44,13031,68152,FALSE,CoronaVirus,0,0
151,RT @alx: .@trish_regan didn’t say Coronavirus is a scam.. she’s talking about how Democrats are blaming Trump for it.,3/10/20 4:45,9308,0,TRUE,Coronavirus,0,0
152,RT @WhiteHouse: LIVE: Members of the Coronavirus Task Force Hold a Press Briefing https://t.co/QkF20ooYl5,3/9/20 22:34,9088,0,TRUE,Coronavirus,0,0
153,So last year 37000 Americans died from the common Flu. It averages between 27000 and 70000 per year. Nothing is shut down life &amp; the economy go on. At this moment there are 546 confirmed cases of CoronaVirus with 22 deaths. Think about that!,3/9/20 14:47,83030,291234,FALSE,CoronaVirus,0,0
154,Great job being done by the @VP and the CoronaVirus Task Force. Thank you!,3/9/20 13:11,14505,73246,FALSE,CoronaVirus,0,0
155,The Fake News Media and their partner the Democrat Party is doing everything within its semi-considerable power (it used to be greater!) to inflame the CoronaVirus situation far beyond what the facts would warrant. Surgeon General “The risk is low to the average American.”,3/9/20 11:20,25985,90579,FALSE,CoronaVirus,0,0
156,RT @thedailybeast: Surgeon General Jerome Adams used his comments to downplay the risk of coronavirus to the president https://t.co/PA6a3Dv…,3/9/20 5:07,4600,0,TRUE,coronavirus,0,0
157,RT @WhiteHouse: President @realDonaldTrump signed the $8.3 billion funding bill to combat Coronavirus and defend the health and safety of t…,3/8/20 4:04,9972,0,TRUE,Coronavirus,0,0
158,RT @seanhannity: @realdonaldTrump  Donates His Quarterly Salary to Help Fight Coronavirus Find Vaccine https://t.co/k6ihTvlKls,3/8/20 4:02,8063,0,TRUE,Coronavirus,0,0
159,RT @Mike_Pence: As a result of President @realDonaldTrump’s leadership every state lab in the Country can now conduct Coronavirus testing.…,3/8/20 4:01,11028,0,TRUE,Coronavirus,0,0
160,Spoke to Governor @GavinNewsom early this morning about the cruise ship quarantined off the California Coast. CoronaVirus test kits have been delivered testing is taking place now. https://t.co/Pqda00HVCC,3/6/20 15:47,13078,52003,FALSE,CoronaVirus,0,0
161,It is FAKE NEWS that @HHSGov @SecAzar is “sidelined” from the great job he is doing on the CoronaVirus Task Force. He has the total confidence of the @VP and myself and is doing a fantastic job as the numbers would indicate!,3/6/20 15:38,15204,64081,FALSE,CoronaVirus,0,0
162,Gallup just gave us the highest rating ever for the way we are handling the CoronaVirus situation. The April 2009-10 Swine Flu where nearly 13000 people died in the U.S. was poorly handled. Ask MSDNC &amp; lightweight Washington failure @RonaldKlain who the President was then?,3/5/20 20:34,17909,72791,FALSE,CoronaVirus,0,0
163,With approximately 100000 CoronaVirus cases worldwide and 3280 deaths the United States because of quick action on closing our borders has as of now only 129 cases (40 Americans brought in) and 11 deaths. We are working very hard to keep these numbers as low as possible!,3/5/20 16:34,26758,140561,FALSE,CoronaVirus,0,0
164,“I want to commend the President for how he has handled the CoronaVirus situation especially his early decision to shut down access into our Country from China despite strong opposition to that decision.” @SenTomCotton Thank you Tom!,3/5/20 15:53,12281,56638,FALSE,CoronaVirus,0,0
165,I NEVER said people that are feeling sick should go to work. This is just more Fake News and disinformation put out by the Democrats in particular MSDNC. Comcast covers the CoronaVirus situation horribly only looking to do harm to the incredible &amp; successful effort being made!,3/5/20 14:30,25915,103076,FALSE,CoronaVirus,0,0
166,Australia’s Central Bank cut interest rates and stated it will most likely further ease in order to make up for China’s Coronavirus situation and slowdown. They reduced to 0.5% a record low. Other countries are doing the same thing if not more so. Our Federal Reserve has us....,3/3/20 6:34,14267,57003,FALSE,Coronavirus,0,0
167,Australia’s Central Bank cut interest rates and stated it will most likely further ease in order to make up for China’s Coronavirus situation and slowdown. They reduced to 0.5% a record low. Other countries are doing the same thing if not more so. Our Federal Reserve has us....,3/3/20 6:27,643,2247,FALSE,Coronavirus,0,0
